Origin [city=Alameda, mainRoad=29TH AVE, crossRoad=I-880, node=1265]
Origin [city=Alamo, mainRoad=I-680, crossRoad=STONE VALLEY RD, node=1162]
Origin [city=Alamo, mainRoad=I-680 N, crossRoad=STONE VALLEY RD, node=1162]
Origin [city=Alamo, mainRoad=I-680 S, crossRoad=STONE VALLEY RD, node=1162]
Origin [city=Albany, mainRoad=BUCHANAN ST, crossRoad=I-80, node=168]
Origin [city=Albany, mainRoad=I-580 E, crossRoad=GOLDEN GATE FIELDS, node=168]
Origin [city=Albany, mainRoad=I-580 W, crossRoad=GOLDEN GATE FIELDS, node=168]
Origin [city=Albany, mainRoad=I-80 E, crossRoad=GOLDEN GATE FIELDS, node=168]
Origin [city=Albany, mainRoad=I-80 W, crossRoad=GOLDEN GATE FIELDS, node=168]
Origin [city=American Canyon, mainRoad=AMERICAN CANYON RD, crossRoad=BROADWAY, node=22]
Origin [city=American Canyon, mainRoad=AMERICAN CANYON RD, crossRoad=CA-29, node=22]
Origin [city=American Canyon, mainRoad=CA-29, crossRoad=AMERICAN CANYON RD, node=22]
Origin [city=Antioch, mainRoad=CA-160, crossRoad=CA-4 E, node=720]
Origin [city=Antioch, mainRoad=CA-160, crossRoad=CA-4 W, node=720]
Origin [city=Antioch, mainRoad=CA-160, crossRoad=MAIN ST, node=2018]
Origin [city=Antioch, mainRoad=CA-4, crossRoad=G ST, node=723]
Origin [city=Antioch, mainRoad=CA-4 E, crossRoad=CA-160, node=720]
Origin [city=Antioch, mainRoad=CA-4 E, crossRoad=G ST, node=723]
Origin [city=Antioch, mainRoad=CA-4 W, crossRoad=CA-160, node=720]
Origin [city=Antioch, mainRoad=CA-4 W, crossRoad=G ST, node=723]
Origin [city=Atherton, mainRoad=US-101, crossRoad=WILLOW RD, node=208]
Origin [city=Bay Point, mainRoad=BAILEY RD, crossRoad=CA-4, node=719]
Origin [city=Belmont, mainRoad=RALSTON AVE, crossRoad=US-101, node=323]
Origin [city=Belmont, mainRoad=RALSTON AVE, crossRoad=US-101 N, node=323]
Origin [city=Belmont, mainRoad=RALSTON AVE, crossRoad=US-101 S, node=323]
